Timestamp,Vehicle_ID,Vehicle_Model,Battery_Age_Months,Avg_Cell_Voltage,Max_Cell_Voltage,Min_Cell_Voltage,Pack_Current,Charging_State,Charge_Throughput,Avg_Temperature,Max_Temperature,Min_Temperature,Ambient_Temperature,Internal_Resistance,Pressure_Level,Coolant_Flow_Rate,Insulation_Resistance,Cycle_Count,Depth_of_Discharge,Energy_Consumed_kWh,Energy_Regenerated_kWh,Distance_Traveled_km,Speed_kmh,Acceleration_ms2,Location_City,Location_Latitude,Location_Longitude,Altitude_m,Humidity_Percent,Air_Pressure_kPa,SOC,SOH,Voltage_Imbalance,Temperature_Gradient,Power_kW,Thermal_Risk_Score,Voltage_Risk_Score,Aging_Risk_Score,Overall_Risk_Score,Alert_Status,Critical_Alert,Hour,Day_of_Week,Month,Vehicle_Model_Encoded,Charging_State_Encoded,Location_City_Encoded,Risk_Category
2024-01-01 00:00:00,JLR-EV-1001,I-PACE,22,3.675,3.863,3.277,-0.88,Idle,25738.96,28.66,34.39,21.18,24.82,2.884,1.344,3.111,1017715,325,0.0,0.0,0.0,0.0,0.0,0.0,Delhi,28.6139,77.209,216,60,98.7,51.09718222811897,85.6437690260056,0.5859999999999999,13.21,0.003234,12.064481059803404,100.0,35.183052098654535,49.082511052819314,Cell Imbalance,1,0,0,1,2,2,2,Medium
2024-01-01 06:00:00,JLR-EV-1001,I-PACE,34,3.666,3.925,3.496,37.85,Discharging,44741.23,23.89,27.75,16.69,21.29,3.368,1.717,2.862,1275888,546,37.0,0.83,0.0,87.9,72.4,2.2,Bangalore,12.9716,77.5946,920,67,91.7,39.686004726282476,74.50957308718837,0.4289999999999998,11.059999999999999,0.13875810000000002,0.3733587637805189,98.10169944900696,52.244431733857496,50.239829982214985,Cell Imbalance,1,6,0,1,2,1,0,High
2024-01-01 12:00:00,JLR-EV-1001,I-PACE,21,3.504,3.839,3.398,34.27,Discharging,27692.84,22.18,27.56,15.97,20.32,3.115,1.575,3.984,1402699,376,72.2,0.72,0.0,136.0,34.6,-2.4,Pune,18.5204,73.8567,560,66,94.9,37.02419069995078,81.01607084238195,0.44099999999999984,11.589999999999998,0.12008208000000001,0.0,98.12930405130541,42.97323775466233,47.03418060198925,Cell Imbalance,1,12,0,1,2,1,4,Medium
2024-01-01 18:00:00,JLR-EV-1001,I-PACE,17,3.42,3.614,3.191,-24.18,Charging,26359.07,20.67,33.72,15.3,20.48,2.864,1.166,2.578,1401900,262,0.0,0.0,0.5,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,74,92.7,31.050417799621655,86.07178038945632,0.42300000000000004,18.419999999999998,0.0826956,0.0,88.7224064713318,39.868535574146904,42.8636473484929,Cell Imbalance,1,18,0,1,2,0,0,Medium
2024-01-02 00:00:00,JLR-EV-1001,I-PACE,51,3.444,3.684,3.227,-70.63,Charging,63010.65,32.2,39.89,26.47,22.16,3.447,1.504,2.888,1739092,676,0.0,0.0,1.46,0.0,0.0,0.0,Delhi,28.6139,77.209,216,69,99.5,38.25865152471406,65.3999704392547,0.4570000000000003,13.420000000000002,0.24324971999999997,21.484162349715056,97.86312745521553,85.07095552610826,68.13941511034629,Cell Imbalance,1,0,1,1,2,0,2,High
2024-01-02 06:00:00,JLR-EV-1001,I-PACE,16,3.699,4.034,3.371,26.26,Discharging,22841.88,23.55,26.87,19.98,24.09,2.972,1.194,3.18,1790579,284,73.7,0.58,0.0,56.8,82.2,1.1,Chennai,13.0827,80.2707,6,70,102.4,43.12805543843197,88.13365435941687,0.6629999999999998,6.890000000000001,0.09713574,0.0,100.0,25.082499210075866,41.69416640335862,Cell Imbalance,1,6,1,1,2,1,1,Medium
2024-01-02 12:00:00,JLR-EV-1001,I-PACE,42,3.737,4.022,3.567,0.23,Idle,56250.98,20.26,25.77,13.42,21.27,3.3,1.052,3.937,1665137,620,0.0,0.0,0.0,0.0,0.0,0.0,Mumbai,19.076,72.8777,14,76,101.7,71.94508728137481,68.1389480019283,0.45500000000000007,12.35,0.0008595100000000001,0.0,94.0874264470956,69.34824055038398,54.478555665826526,Cell Imbalance,1,12,1,1,2,2,3,High
2024-01-02 18:00:00,JLR-EV-1001,I-PACE,52,3.567,3.738,3.408,-90.95,Charging,58169.38,31.95,45.22,28.42,21.11,3.229,1.747,2.477,1525383,635,0.0,0.0,1.95,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,67,91.4,62.234926181473355,66.50605593375069,0.33000000000000007,16.799999999999997,0.32441865000000003,22.64223048517338,66.85126102119631,85.05000862342033,58.181166709930004,Cell Imbalance,1,18,1,1,2,0,0,High
2024-01-03 00:00:00,JLR-EV-1001,I-PACE,19,3.702,3.924,3.472,68.41,Discharging,29831.14,30.14,45.04,22.51,20.91,3.1,1.034,3.923,1263312,357,62.2,1.52,0.0,4.7,74.5,0.4,Bangalore,12.9716,77.5946,920,67,91.8,68.01841017827073,83.78960657731443,0.45199999999999996,22.529999999999998,0.25325381999999996,18.629171698573913,97.81919077826785,37.66364248697513,51.3706683212723,Cell Imbalance,1,0,2,1,2,1,0,High
2024-01-03 06:00:00,JLR-EV-1001,I-PACE,7,3.702,3.951,3.414,-51.32,Charging,16742.55,27.47,35.62,22.67,24.97,3.046,1.45,2.501,1445633,169,0.0,0.0,1.14,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,69,91.0,80.87135399188826,93.63256004774966,0.5369999999999999,12.949999999999996,0.18998663999999998,10.852691842549273,100.0,13.242870355156954,41.36518739923541,Cell Imbalance,1,6,2,1,2,0,0,Medium
2024-01-03 12:00:00,JLR-EV-1001,I-PACE,50,3.476,3.625,3.136,27.08,Discharging,60936.93,21.76,30.33,17.83,18.99,3.52,1.428,3.853,1136538,744,71.6,0.56,0.0,94.9,71.0,-2.0,Chennai,13.0827,80.2707,6,70,100.8,19.493313003763262,64.09203847466449,0.4889999999999999,12.5,0.09413007999999999,0.0,100.0,88.8858900612946,62.96196335376487,Cell Imbalance,1,12,2,1,2,1,1,High
2024-01-03 18:00:00,JLR-EV-1001,I-PACE,13,3.653,3.975,3.395,16.2,Discharging,18199.56,20.34,26.98,16.05,17.46,2.867,1.583,3.515,1776090,236,40.3,0.36,0.0,46.3,92.1,-0.6,Chennai,13.0827,80.2707,6,82,101.7,38.97721076695933,92.75638007817267,0.5800000000000001,10.93,0.0591786,0.0,100.0,27.42213160118765,42.474043867062555,Cell Imbalance,1,18,2,1,2,1,1,Medium
2024-01-04 00:00:00,JLR-EV-1001,I-PACE,20,3.405,3.661,3.121,42.01,Discharging,22361.37,27.28,40.99,24.37,19.24,3.294,1.194,3.212,1146031,326,50.5,0.86,0.0,0.8,105.7,-0.1,Delhi,28.6139,77.209,216,52,100.4,15.924066873443117,81.72896380168987,0.54,16.62,0.14304405,11.824153347541861,100.0,43.938395095174336,51.920849480905396,Cell Imbalance,1,0,3,1,2,1,2,High
2024-01-04 06:00:00,JLR-EV-1001,I-PACE,32,3.478,3.641,3.207,-23.22,Charging,35065.53,18.58,22.24,12.48,17.67,2.971,1.611,3.579,1439252,391,0.0,0.0,0.48,0.0,0.0,0.0,Delhi,28.6139,77.209,216,69,100.4,32.56299965584185,76.91388968282277,0.43400000000000016,9.759999999999998,0.08075916,0.0,100.0,49.95268409553446,49.98422803184482,Cell Imbalance,1,6,3,1,2,0,2,Medium
