Timestamp,Vehicle_ID,Vehicle_Model,Battery_Age_Months,Avg_Cell_Voltage,Max_Cell_Voltage,Min_Cell_Voltage,Pack_Current,Charging_State,Charge_Throughput,Avg_Temperature,Max_Temperature,Min_Temperature,Ambient_Temperature,Internal_Resistance,Pressure_Level,Coolant_Flow_Rate,Insulation_Resistance,Cycle_Count,Depth_of_Discharge,Energy_Consumed_kWh,Energy_Regenerated_kWh,Distance_Traveled_km,Speed_kmh,Acceleration_ms2,Location_City,Location_Latitude,Location_Longitude,Altitude_m,Humidity_Percent,Air_Pressure_kPa
2024-01-01T00:00:00,JLR-EV-1001,I-PACE,22,3.675,3.863,3.277,-0.88,Idle,25738.96,28.66,34.39,21.18,24.82,2.884,1.344,3.111,1017715,325,0.0,0.0,0.0,0.0,0.0,0.0,Delhi,28.6139,77.209,216,60,98.7
2024-01-01T06:00:00,JLR-EV-1001,I-PACE,34,3.666,3.925,3.496,37.85,Discharging,44741.23,23.89,27.75,16.69,21.29,3.368,1.717,2.862,1275888,546,37.0,0.83,0.0,87.9,72.4,2.2,Bangalore,12.9716,77.5946,920,67,91.7
2024-01-01T12:00:00,JLR-EV-1001,I-PACE,21,3.504,3.839,3.398,34.27,Discharging,27692.84,22.18,27.56,15.97,20.32,3.115,1.575,3.984,1402699,376,72.2,0.72,0.0,136.0,34.6,-2.4,Pune,18.5204,73.8567,560,66,94.9
2024-01-01T18:00:00,JLR-EV-1001,I-PACE,17,3.42,3.614,3.191,-24.18,Charging,26359.07,20.67,33.72,15.3,20.48,2.864,1.166,2.578,1401900,262,0.0,0.0,0.5,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,74,92.7
2024-01-02T00:00:00,JLR-EV-1001,I-PACE,51,3.444,3.684,3.227,-70.63,Charging,63010.65,32.2,39.89,26.47,22.16,3.447,1.504,2.888,1739092,676,0.0,0.0,1.46,0.0,0.0,0.0,Delhi,28.6139,77.209,216,69,99.5
2024-01-02T06:00:00,JLR-EV-1001,I-PACE,16,3.699,4.034,3.371,26.26,Discharging,22841.88,23.55,26.87,19.98,24.09,2.972,1.194,3.18,1790579,284,73.7,0.58,0.0,56.8,82.2,1.1,Chennai,13.0827,80.2707,6,70,102.4
2024-01-02T12:00:00,JLR-EV-1001,I-PACE,42,3.737,4.022,3.567,0.23,Idle,56250.98,20.26,25.77,13.42,21.27,3.3,1.052,3.937,1665137,620,0.0,0.0,0.0,0.0,0.0,0.0,Mumbai,19.076,72.8777,14,76,101.7
2024-01-02T18:00:00,JLR-EV-1001,I-PACE,52,3.567,3.738,3.408,-90.95,Charging,58169.38,31.95,45.22,28.42,21.11,3.229,1.747,2.477,1525383,635,0.0,0.0,1.95,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,67,91.4
2024-01-03T00:00:00,JLR-EV-1001,I-PACE,19,3.702,3.924,3.472,68.41,Discharging,29831.14,30.14,45.04,22.51,20.91,3.1,1.034,3.923,1263312,357,62.2,1.52,0.0,4.7,74.5,0.4,Bangalore,12.9716,77.5946,920,67,91.8
2024-01-03T06:00:00,JLR-EV-1001,I-PACE,7,3.702,3.951,3.414,-51.32,Charging,16742.55,27.47,35.62,22.67,24.97,3.046,1.45,2.501,1445633,169,0.0,0.0,1.14,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,69,91.0
